パンフレットに掲載するサークル名を教えてください	エントリー時からサークル名を変更する場合のみ、エントリー時のサークル名を教えてください	サークルカット画像を提出してください	出展するジャンルを全て答えてください	1つ目の頒布リンクを教えてください	1つ目の頒布先の名前を教えてください	2つ目の頒布リンクを教えてください	2つ目の頒布先の名前を教えてください	3つ目の頒布リンクを教えてください	3つ目の頒布先の名前を教えてください	4つ目の頒布リンクを教えてください	4つ目の頒布先の名前を教えてください	5つ目の頒布リンクを教えてください	5つ目の頒布先の名前を教えてください	1つ目の頒布先・頒布物の説明を教えてください	2つ目の頒布先・頒布物の説明を教えてください	3つ目の頒布先・頒布物の説明を教えてください	4つ目の頒布先・頒布物の説明を教えてください	5つ目の頒布先・頒布物の説明を教えてください	X（Twitter）アカウントを公開したい場合は記載してください	もう1つX（Twitter）アカウントを公開したい場合は記載してください	他のSNSアカウントを公開したい場合、その名称を	Column 9
巡涯学派		https://drive.google.com/open?id=1Qj1J4_i_RUCK8TxtvXCHvDndT1gc9EoF	シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://planes.booth.pm/items/8594148	【先行体験版】プラネスデオメノス 巡涯学派星辰祈譚（Booth）	https://planes.booth.pm/items/7268434	【電子版】プラネスセオルギア 巡涯学派魔法大系（Booth）	https://planes.booth.pm/items/7268444	【紙書籍】プラネスセオルギア 巡涯学派魔法大系（Booth）	https://planes.booth.pm/items/7847999	ソード・ワールド2.5シンボルフォント プラネスセミオチカ 巡涯学派記号目録（Booth）	https://planes.booth.pm/items/8084955	ソード・ワールド2.5 追加戦闘ルール ヘックスマス戦闘＋汎用ヘックスマップ素材	イベント限定の先行体験版を無償頒布。天体と信仰をテーマにした同人サプリメント。この旅の涯に、きみは何を願い祈る？	ラクシアを旅する、魔法研究者集団「巡涯学派」。彼らの研究成果を紹介するオリジナルデータ集。	ラクシアを旅する、魔法研究者集団「巡涯学派」。彼らの研究成果を紹介するオリジナルデータ集。	ソード・ワールド2.5作品内で使用されている記号やシンボルなどを、アレンジを加えつつまとめたフォントデータ。	熟練戦闘をベースに、戦略性の高さを残しつつ、座標の管理の簡略化を図った戦闘ルール。ココフォリア向けの画像素材もあります。	@organon_torah			協賛
安いかもしれない		https://drive.google.com/open?id=1TlUWtbsg54X5fn_xVoFyCc0yu4Gyc52m	シナリオ/キャンペーン, 素材（立ち絵）	https://xcgd.booth.pm/	AI画像集(BOOTH)			https://xcgd.booth.pm/	シナリオ『極天のアルカノイド-魔術王の遺産-』					AI生成したセッションで使える立ち絵などです。		レベル5-6と7-8帯を遊べる２話のキャンペーンシナリオです。			@emiya1762			
クレメリア情報局	クレメリア情報局	https://drive.google.com/open?id=1HVCFvt1VWf2XoUvWNF0u50OlIme-xwDn	シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://dagonunder6feet.booth.pm/	クレメリア情報局									創作大陸【クレメリア】を舞台にしたシナリオ・データ集を頒布しています。また、ドット絵などの頒布もやっています！					@DagonUnder6Feet			
紅葉幕府		https://drive.google.com/open?id=1Fv3EZ5-ybOSoSmikTpVNg9zU5AZV-fnd	シナリオ/キャンペーン, 独自データ	https://momijibakufu.booth.pm/items/8577520	データ集『バウンティ・モンスターズ』	https://momijibakufu.booth.pm/items/7677618	シナリオ集『sw2.5シナリオ集vol.1』	https://momijibakufu.booth.pm/items/7677824	シナリオ集『sw2.5シナリオ集vol.2』	https://momijibakufu.booth.pm/items/7677930	シナリオ集『sw2.5シナリオ集vol.3』	https://momijibakufu.booth.pm/items/7678619	シナリオ集『sw2.5シナリオ集vol.4』	オリジナルのボス級魔物データ集です。  全15種の魔物を、形態違い・随伴データ込みで計19データ収録。	高レベル帯のキャンペーンと、中レベル帯の単発シナリオを収録しています。	中レベル帯のキャンペーンと、中レベル帯の単発シナリオを収録しています。	中レベル帯の単発シナリオ2本と、初期作成蛮族用シナリオを収録しています。	中レベル帯の単発シナリオ2本と、初期作成蛮族用シナリオを収録しています。	@momiji_bakufu			
イフェクティブカートリッジ工場		https://drive.google.com/open?id=18gVFgGCVG0I-MWF_0jFlFOR8wpgbAR00	独自データ	https://kalia.booth.pm/items/8495920	想起の国ノストロス									魔動機文明時代の息吹が色濃く残るオリジナルの小国の地方誌です。追加データの他に魔動機を作って戦うミニゲームルールを収録					@TRPG_CCrown			
雪花露店		https://drive.google.com/open?id=1dsz6hFYyVLQNcMnarSCKU3RMc3eMvHfi	シナリオ/キャンペーン	https://mmikotom.booth.pm/items/8465987?_gl=1*1eboq1s*_ga*MjA5MjY3ODgzNS4xNzYxODA2Nzgz*_ga_RWT2QKJLDC*czE3ODI4NjQ2MjckbzcwJGcxJHQxNzgyODY0NjMyJGo1NSRsMCRoMA..	雪花露店（Booth）									魔域内で1人の少年と交流するシナリオを頒布しています					@Ourou_TRPG			協賛
studio SISTER		https://drive.google.com/open?id=1V8DuIofoFnjXf62HunXH4Po6PX4fueho	シナリオ/キャンペーン, 独自データ	https://jorge.booth.pm/	studio SISTER(Booth)	https://studio-sister.com/	studio SISTER HP	https://studio-sister.com/wonder-arts-record/	Wonder Arts Record特設サイト					キャンペーンシナリオ『雛ドラゴンの育て方』や、流派追加サプリメント『Wonder Arts Record』を頒布中です。	studio SISTERのホームページです。	流派追加サプリメントシリーズ『Woder Arts Record』の特設サイトです。			@Jorge_stSISTER			協賛
黒猫亭		https://drive.google.com/open?id=1GW0IKb_5u2J7pClIYjo76xc_x0j8wYpm	素材（立ち絵）																			
わっかのTRPG部屋		https://drive.google.com/open?id=1DFvLBagHRlJVTCK3jGUxyTm0T212wsXE	シナリオ/キャンペーン, 独自データ, 素材（オンラインセッション用）	https://wakkacha.booth.pm/	わっかのTRPG部屋（BOOTH）	https://talto.cc/users/97Tf8nCOnpQLghg5XU0dj02Cuw82	わっかのシナリオ（TALTO）							TRPG（SW2.5）のシナリオ、ココフォリア用オンセ素材などを頒布しています。	SW2.5のシナリオを頒布しています。				@wakkacha			
鹿川精肉店		https://drive.google.com/open?id=14poJwJ_zcqCkyxV2ko_7H57wKiZQqlpr	素材（立ち絵）, 素材（オンラインセッション用）	https://shikagawaseiniku.booth.pm/item_lists/8GXT3kd2	鹿川精肉店（BOOTH）									ソドワファンフェスに出す物をまとめた商品ページです！ブルライト地方のマップだったりうさぎ詰めの更新を行ったりします！					@kainiku019			
